seed,mode,latch_physics,rgbd_valid,episode_steps,episode_return,full_success,reach_success,grasp_success,lift_success,entered_place,place_success,supervisor_grasp_confirmed,supervisor_task_complete,supervisor_failed,supervisor_failure_reason,sim_latch_ever,empty_grasp_confirmation,object_dropped,hold_lost_or_unlatched,max_tracker_truth_error_m_evaluator_only,source_consistency_failures,supervisor_events,privileged_events,sim_latch_first_step,privileged_release_first_step,initial_object_xyz,initial_goal_xyz,final_goal_xy_m,supervisor_stage,supervisor_grasp_phase,supervisor_last_diagnostics,final_gripper_state
0,deployable_fsm,False,True,900,-156.91824048681212,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.021931293041890097,0,{'reach_to_grasp': 321},{'reach_to_grasp': 322},,,"[0.5410885061964363, -0.09208531449445188, 0.315]","[0.48809764141586737, -0.09760808111499739, 0.315]",0.06437081639331152,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.0099153986841909, 'grasp_z_error': 0.030826049542920342, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.053626075227041735, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780796988077, 'velocity': -2.7156913142922073e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002959240579494615, 'fault': False, 'grasp_hold_confidence': 0.0029592405794946148, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
1,deployable_fsm,False,True,900,11.888161739402225,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.03497926219895265,0,{'reach_to_grasp': 255},{'reach_to_grasp': 256},,,"[0.503546487410077, 0.18018547853037414, 0.315]","[0.4451888057286005, 0.1996960564749961, 0.315]",0.049491993755313615,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.0028661633385447098, 'grasp_z_error': 0.03166657379983917, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.060654097646718606, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780792364437, 'velocity': 2.8637928184648023e-11, 'motion_status': 'stopped', 'actuator_effort': -0.00029593030886897604, 'fault': False, 'grasp_hold_confidence': 0.0029593030886897603, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
2,deployable_fsm,False,True,900,-78.58577616294386,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.025894516110883076,0,{'reach_to_grasp': 283},{'reach_to_grasp': 284},,,"[0.4284836402747949, -0.08060354263435068, 0.315]","[0.3320190742271971, -0.1434633882000155, 0.315]",0.1306908962112864,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.008893032637598901, 'grasp_z_error': 0.03447296727017857, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.11582742596638183, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.99997808636721, 'velocity': 5.046473807575312e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002958340441794559, 'fault': False, 'grasp_hold_confidence': 0.002958340441794559, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
3,deployable_fsm,False,True,900,-169.6063686194108,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.058608890321699955,0,{'reach_to_grasp': 289},{'reach_to_grasp': 290},,,"[0.3756947501430873, -0.10527579736156012, 0.315]","[0.47492712933611037, -0.048953585399220095, 0.315]",0.09346180672249328,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.007915880955853462, 'grasp_z_error': 0.03560049968747603, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.11419614601668185, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780903608997, 'velocity': -2.9123893781918076e-10, 'motion_status': 'stopped', 'actuator_effort': -0.00029578011911662427, 'fault': False, 'grasp_hold_confidence': 0.0029578011911662425, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
4,deployable_fsm,False,True,900,-139.9059870598704,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.020333749111923746,0,{'reach_to_grasp': 331},{'reach_to_grasp': 332},,,"[0.6329168316717103, 0.004531021125744633, 0.315]","[0.5209881030878145, -0.057770188413326456, 0.315]",0.1408818138891583,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.007870256737368889, 'grasp_z_error': 0.027407999831931318, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.1279591155185836, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780740496205, 'velocity': -3.0073156383412987e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002960003211023729, 'fault': False, 'grasp_hold_confidence': 0.002960003211023729, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
5,deployable_fsm,False,True,900,-53.36339075920123,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.020616407808632047,0,{'reach_to_grasp': 294},{'reach_to_grasp': 295},,,"[0.5915008771236141, 0.12317631589459749, 0.315]","[0.6118492487873953, 0.03424862034537329, 0.315]",0.11180991780744559,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.004732808798015658, 'grasp_z_error': 0.02886221095616609, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.09167495420850243, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780753602693, 'velocity': 8.916368568031023e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002959826390390901, 'fault': False, 'grasp_hold_confidence': 0.002959826390390901, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
6,deployable_fsm,False,True,900,-20.245644956149786,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.02734401382283704,0,{'reach_to_grasp': 305},{'reach_to_grasp': 306},,,"[0.511449305441583, -0.06269165207466462, 0.315]","[0.5675041557711049, -0.11910210933956422, 0.315]",0.09376887280369173,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.009244304647517345, 'grasp_z_error': 0.032077323951399506, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.0802734330713542, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780811247274, 'velocity': 5.327573286343854e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002959048177777143, 'fault': False, 'grasp_hold_confidence': 0.002959048177777143, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
7,deployable_fsm,False,True,900,-13.977887998443563,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.029273513335937404,0,{'reach_to_grasp': 269},{'reach_to_grasp': 270},,,"[0.5375286399814001, 0.15888552038783021, 0.315]","[0.5201434919848835, 0.04818752037234572, 0.315]",0.1292554555715943,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.0032844520891511073, 'grasp_z_error': 0.030688461046407434, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.11235696816489299, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780777160704, 'velocity': 3.0089500336127564e-10, 'motion_status': 'stopped', 'actuator_effort': -0.00029595084207594967, 'fault': False, 'grasp_hold_confidence': 0.0029595084207594967, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
8,deployable_fsm,False,True,900,-136.02197075522304,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.05603575108121106,0,{'reach_to_grasp': 234},{'reach_to_grasp': 235},,,"[0.44809168298166824, 0.19491073733517023, 0.315]","[0.4299838496204842, 0.2682038700945484, 0.315]",0.028611792078778463,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.0030393281100157005, 'grasp_z_error': 0.035595577895610186, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.07464329165392171, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780818764145, 'velocity': -2.9924265809829296e-10, 'motion_status': 'stopped', 'actuator_effort': -0.000295894659427239, 'fault': False, 'grasp_hold_confidence': 0.0029589465942723896, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
9,deployable_fsm,False,True,900,-145.026212302595,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.019378437730349064,0,{'reach_to_grasp': 343},{'reach_to_grasp': 344},,,"[0.6110747611910254, -0.08527311636497786, 0.315]","[0.5941616818052167, 0.011512079651405785, 0.315]",0.08320607933655243,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.009441739012731746, 'grasp_z_error': 0.02810424786026694, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.09719593230835732, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780760177329, 'velocity': -2.9197010116403674e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002959737518465838, 'fault': False, 'grasp_hold_confidence': 0.0029597375184658376, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
